"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",34.6320956054532,0.57390251643183,60.3449098302863,0
"Horas.estudadas.por.semana_Ate.duas",0.125326894669572,0.537708940592149,0.233075712915535,0.815708570072769
"Horas.estudadas.por.semana_Ate.cinco",1.78833093710387,0.547545606586384,3.26608581201671,0.00109503828759419
"Horas.estudadas.por.semana_Ate.oito",3.88052303725365,0.634926175497902,6.11177044986464,1.03141302952106e-09
"Horas.estudadas.por.semana_Oito.mais",5.3479198578973,0.661514933052148,8.08435243211013,7.16463233974821e-16
"Pais.com.ensino.superior_Sim",2.34035024079957,0.347418063739441,6.7364091999396,1.7357034473309e-11
"Ensino.medio.cursado_Maior.parte.exterior",9.2200900466377,1.61236685948844,5.71835745220105,1.11423173584354e-08
"Ensino.medio.cursado_Maior.parte.privada",1.92963249817491,0.769663163059696,2.50711296939807,0.0121918215934687
"Ensino.medio.cursado_Maior.parte.publica",-0.915163465593664,0.949598704862016,-0.963737061674537,0.335206865197588
"Ensino.medio.cursado_Toda.exterior",-4.08491382480882,3.05666350908535,-1.33639630684476,0.181457737691825
"Ensino.medio.cursado_Toda.privada",4.68659738875434,0.309805190259206,15.1275625331945,5.37576203933365e-51
"Tempo.disposto.ao.trabalho_Trabalha.20.horas",-1.22128109694963,0.717147330834015,-1.70297098579357,0.0886122983943313
"Tempo.disposto.ao.trabalho_Trabalha.39.horas",-1.77355952187746,0.716623700204057,-2.47488259371333,0.0133485443978547
"Tempo.disposto.ao.trabalho_Trabalha.40.horas",-1.76117208581957,0.431267933691785,-4.08370747795554,4.47543211201594e-05
"Tempo.disposto.ao.trabalho_Trabalha.mais.40.horas",-3.17349578963788,0.327769031467997,-9.68210991570671,4.7434066846264e-22
